time,open,high,low,close,tick_volume
2018-09-04 15:00:00,1194.11,1195.6,1192.33,1194.59,15292
2018-09-04 16:00:00,1194.66,1194.94,1190.41,1192.76,24955
2018-09-04 17:00:00,1192.76,1192.85,1189.66,1192.29,25172
2018-09-04 18:00:00,1192.3,1192.6,1190.96,1191.79,15444
2018-09-04 19:00:00,1191.78,1194.64,1191.2,1193.29,13929
2018-09-04 20:00:00,1193.29,1193.99,1192.1,1192.11,10751
2018-09-04 21:00:00,1192.1,1193.01,1191.35,1192.88,7093
2018-09-04 22:00:00,1192.88,1193.23,1191.95,1193.22,5347
2018-09-04 23:00:00,1193.22,1193.41,1190.72,1191.41,4214
2018-09-05 01:00:00,1191.41,1192.33,1190.93,1191.91,2456
2018-09-05 02:00:00,1191.92,1192.28,1191.56,1192.05,2442
2018-09-05 03:00:00,1192.05,1192.59,1190.9,1192.31,6375
2018-09-05 04:00:00,1192.36,1193.93,1191.49,1193.67,13011
2018-09-05 05:00:00,1193.66,1194.64,1193.07,1194.48,8074
2018-09-05 06:00:00,1194.48,1194.48,1193.12,1193.63,5881
2018-09-05 07:00:00,1193.62,1194.06,1193.24,1193.39,3888
2018-09-05 08:00:00,1193.39,1193.81,1192.09,1193.62,8820
2018-09-05 09:00:00,1193.62,1193.67,1191.93,1192.6,13310
2018-09-05 10:00:00,1192.59,1195.92,1191.96,1193.3,15231
2018-09-05 11:00:00,1193.29,1194.89,1192.74,1194.77,11451
2018-09-05 12:00:00,1194.77,1195.5,1193.16,1193.44,13292
2018-09-05 13:00:00,1193.44,1195.15,1193.25,1194.77,10489
2018-09-05 14:00:00,1194.78,1195.16,1193.52,1193.64,8358
2018-09-05 15:00:00,1193.63,1196.3,1193.54,1196.05,11544
2018-09-05 16:00:00,1196.05,1198.08,1195.34,1197.36,25262
2018-09-05 17:00:00,1197.37,1197.65,1195.22,1196.59,19687
2018-09-05 18:00:00,1196.59,1198.43,1196.18,1196.77,17006
2018-09-05 19:00:00,1196.78,1197.35,1195.28,1195.52,9279
2018-09-05 20:00:00,1195.53,1196.87,1195.13,1195.65,8446
2018-09-05 21:00:00,1195.64,1196.59,1195.62,1196.23,5872
2018-09-05 22:00:00,1196.22,1197.04,1196.06,1197.01,4728
2018-09-05 23:00:00,1197.0,1197.16,1196.06,1196.71,3434
2018-09-06 01:00:00,1196.54,1197.24,1196.54,1197.03,2066
2018-09-06 02:00:00,1197.01,1197.78,1196.73,1197.14,2935
2018-09-06 03:00:00,1197.13,1199.95,1197.04,1198.9,10200
2018-09-06 04:00:00,1198.88,1199.89,1198.01,1198.67,9913
2018-09-06 05:00:00,1198.67,1199.74,1198.2,1199.17,6593
2018-09-06 06:00:00,1199.17,1199.48,1197.92,1198.22,7450
2018-09-06 07:00:00,1198.2,1198.61,1197.13,1197.48,4763
2018-09-06 08:00:00,1197.47,1197.56,1195.84,1196.51,8013
2018-09-06 09:00:00,1196.51,1197.8,1196.0,1197.38,11308
2018-09-06 10:00:00,1197.38,1199.65,1196.77,1199.02,14433
2018-09-06 11:00:00,1199.04,1203.25,1198.97,1202.97,18818
2018-09-06 12:00:00,1202.96,1205.23,1202.2,1203.4,14323
2018-09-06 13:00:00,1203.39,1205.99,1203.01,1205.49,11197
2018-09-06 14:00:00,1205.49,1206.48,1204.8,1204.85,10683
2018-09-06 15:00:00,1204.83,1206.68,1203.47,1203.86,20317
2018-09-06 16:00:00,1203.86,1207.01,1202.64,1206.12,18031
2018-09-06 17:00:00,1205.98,1205.98,1203.07,1203.91,21718
2018-09-06 18:00:00,1203.88,1204.23,1196.76,1199.03,24494
2018-09-06 19:00:00,1199.03,1199.7,1197.81,1198.9,12020
2018-09-06 20:00:00,1198.9,1199.76,1198.31,1199.53,8589
